geo,geo.name,geo.is.territory,geo.is.un_state,geo.g_region4,geo.g_west_rest,geo.lat,geo.lng
flk,Falkland Is (Malvinas),TRUE,FALSE,ame,rest,-51.75,-59.16667
fji,Fiji,TRUE,TRUE,asi,rest,-18,178
eri_a_eth,Eritrea and Ethiopia,TRUE,FALSE,afr,rest,,
fin,Finland,TRUE,TRUE,eur,west,64,26
fra,France,TRUE,TRUE,eur,west,46,2
guf,French Guiana,TRUE,FALSE,ame,rest,4,-53
pyf,French Polynesia,TRUE,FALSE,asi,rest,-15,-140
gab,Gabon,TRUE,TRUE,afr,rest,-1,11.75
gmb,Gambia,TRUE,TRUE,afr,rest,13.5,-15.5
geo,Georgia,TRUE,TRUE,eur,rest,41.99998,43.4999
deu,Germany,TRUE,TRUE,eur,west,51.5,10.5
gha,Ghana,TRUE,TRUE,afr,rest,8.1,-1.2
gib,Gibraltar,TRUE,FALSE,eur,rest,36.14474,-5.35257
grc,Greece,TRUE,TRUE,eur,west,39,22
grl,Greenland,TRUE,FALSE,eur,west,72,-40
grd,Grenada,TRUE,TRUE,ame,rest,12.11667,-61.66667
glp,Guadeloupe,TRUE,FALSE,ame,rest,16.25,-61.58333
gum,Guam,TRUE,FALSE,asi,rest,13.47861,144.81834
gtm,Guatemala,TRUE,TRUE,ame,rest,14.64072,-90.51327
gbg,Guernsey,TRUE,FALSE,eur,rest,49.45474,-2.57629
gin,Guinea,TRUE,TRUE,afr,rest,10.83333,-10.66667
gnb,Guinea-Bissau,TRUE,TRUE,afr,rest,12,-15
guy,Guyana,TRUE,TRUE,ame,rest,5,-59
hti,Haiti,TRUE,TRUE,ame,rest,19,-72.41667
hos,Holy See,TRUE,TRUE,eur,west,41.90236,12.45332
hnd,Honduras,TRUE,TRUE,ame,rest,15,-86.5
hkg,"Hong Kong, China",TRUE,FALSE,asi,rest,22.28552,114.15769
hun,Hungary,TRUE,TRUE,eur,rest,47,20
isl,Iceland,TRUE,TRUE,eur,west,65,-18
ind,India,TRUE,TRUE,asi,rest,22,79
idn,Indonesia,TRUE,TRUE,asi,rest,-5,120
irn,Iran,TRUE,TRUE,asi,rest,32,53
irq,Iraq,TRUE,TRUE,asi,rest,33,44
irl,Ireland,TRUE,TRUE,eur,west,53,-8
gbm,Isle of Man,TRUE,FALSE,eur,rest,54.15,-4.48333
isr,Israel,TRUE,TRUE,asi,rest,31.5,34.75
ita,Italy,TRUE,TRUE,eur,west,42.83333,12.83333
jam,Jamaica,TRUE,TRUE,ame,rest,18.16667,-77.25
jpn,Japan,TRUE,TRUE,asi,rest,35.68536,139.75309
jey,Jersey,TRUE,FALSE,eur,west,49.21667,-2.11667
jor,Jordan,TRUE,TRUE,asi,rest,31,36
kaz,Kazakhstan,TRUE,TRUE,asi,rest,48,68
ken,Kenya,TRUE,TRUE,afr,rest,1,38
kir,Kiribati,TRUE,TRUE,asi,rest,1.421,172.984
prk,North Korea,TRUE,TRUE,asi,rest,40,127
kor,South Korea,TRUE,TRUE,asi,rest,36.5,127.75
kwt,Kuwait,TRUE,TRUE,asi,rest,29.36972,47.97833
kgz,Kyrgyz Republic,TRUE,FALSE,asi,rest,41.5,75
lao,Lao,TRUE,TRUE,asi,rest,18,105
lva,Latvia,TRUE,TRUE,eur,rest,57,25
lbn,Lebanon,TRUE,TRUE,asi,rest,33.83333,35.83333
lso,Lesotho,TRUE,TRUE,afr,rest,-29.5,28.25
korea_union,"United Korea (former)
",TRUE,FALSE,asi,rest,,
lbr,Liberia,TRUE,TRUE,afr,rest,6.5,-9.5
kos,Kosovo,TRUE,FALSE,eur,rest,,
lby,Libya,TRUE,TRUE,afr,rest,28,17
lie,Liechtenstein,TRUE,TRUE,eur,west,47.16667,9.53333
ltu,Lithuania,TRUE,TRUE,eur,rest,55.41667,24
lux,Luxembourg,TRUE,TRUE,eur,west,49.61167,6.13
mac,"Macao, China",TRUE,FALSE,asi,rest,22.20056,113.54611
mkd,"Macedonia, FYR",TRUE,TRUE,eur,rest,41.66667,21.75
mdg,Madagascar,TRUE,TRUE,afr,rest,-20,47
mwi,Malawi,TRUE,TRUE,afr,rest,-13.5,34
mys,Malaysia,TRUE,TRUE,asi,rest,2.5,112.5
mdv,Maldives,TRUE,TRUE,asi,rest,3.2,73
mli,Mali,TRUE,TRUE,afr,rest,18,-2
mlt,Malta,TRUE,TRUE,eur,west,35.91667,14.43333
mhl,Marshall Islands,TRUE,FALSE,asi,rest,7.113,171.236
mtq,Martinique,TRUE,FALSE,ame,rest,14.66667,-61
mrt,Mauritania,TRUE,TRUE,afr,rest,20.25,-10.5
mus,Mauritius,TRUE,TRUE,afr,rest,-20.3,57.58333
myt,Mayotte,TRUE,FALSE,afr,rest,-12.83333,45.16667
mex,Mexico,TRUE,TRUE,ame,rest,19.42847,-99.12766
fsm,"Micronesia, Fed. Sts.",TRUE,FALSE,asi,rest,6.924,158.162
mda,Moldova,TRUE,TRUE,eur,rest,47.25,28.58333
mco,Monaco,TRUE,TRUE,eur,west,43.73333,7.41667
mng,Mongolia,TRUE,TRUE,asi,rest,46,105
mne,Montenegro,TRUE,TRUE,eur,rest,42.75,19.25
msr,Montserrat,TRUE,FALSE,ame,rest,16.75,-62.2
mar,Morocco,TRUE,TRUE,afr,rest,32,-6
moz,Mozambique,TRUE,TRUE,afr,rest,-18.25,35
mmr,Myanmar,TRUE,TRUE,asi,rest,21,96
nam,Namibia,TRUE,TRUE,afr,rest,-22,17
nru,Nauru,TRUE,TRUE,asi,rest,-0.517,166.933
